Sector,Count Type,Year,State,Value
RESIDENTIAL,Sales,2016,ME,796303
RESIDENTIAL,Sales,2016,MI,418
RESIDENTIAL,Sales,2016,MT,10
RESIDENTIAL,Sales,2016,NH,801376
RESIDENTIAL,Sales,2016,NJ,4105475
RESIDENTIAL,Sales,2016,NV,0
RESIDENTIAL,Sales,2016,NY,9262708
RESIDENTIAL,Sales,2016,OH,22786439
RESIDENTIAL,Sales,2016,OR,0
RESIDENTIAL,Sales,2016,PA,18897995
RESIDENTIAL,Sales,2016,RI,347315
RESIDENTIAL,Sales,2016,VA,0
RESIDENTIAL,Sales,2016,WA,0
RESIDENTIAL,Sales,2016,US,94944737
RESIDENTIAL,Sales,2015,CA,1781091
RESIDENTIAL,Sales,2015,CT,4528435
RESIDENTIAL,Sales,2015,DC,576437
RESIDENTIAL,Sales,2015,DE,342587
RESIDENTIAL,Sales,2015,IL,21447366
RESIDENTIAL,Sales,2015,MA,4577709
RESIDENTIAL,Sales,2015,MD,5848626
RESIDENTIAL,Sales,2015,ME,937421
RESIDENTIAL,Sales,2015,MI,507
RESIDENTIAL,Sales,2015,MT,6
RESIDENTIAL,Sales,2015,NH,785041
RESIDENTIAL,Sales,2015,NJ,3857443
RESIDENTIAL,Sales,2015,NV,0
RESIDENTIAL,Sales,2015,NY,9527227
RESIDENTIAL,Sales,2015,OH,22376502
RESIDENTIAL,Sales,2015,OR,0
RESIDENTIAL,Sales,2015,PA,19332355
RESIDENTIAL,Sales,2015,RI,259665
RESIDENTIAL,Sales,2015,VA,0
RESIDENTIAL,Sales,2015,WA,0
RESIDENTIAL,Sales,2015,US,96178418
RESIDENTIAL,Sales,2014,CA,692484
RESIDENTIAL,Sales,2014,CT,4898869
RESIDENTIAL,Sales,2014,DC,338061
RESIDENTIAL,Sales,2014,DE,335331
RESIDENTIAL,Sales,2014,IL,25336476
RESIDENTIAL,Sales,2014,MA,3180162
RESIDENTIAL,Sales,2014,MD,6529562
RESIDENTIAL,Sales,2014,ME,4577187
RESIDENTIAL,Sales,2014,MI,572
RESIDENTIAL,Sales,2014,MT,7
RESIDENTIAL,Sales,2014,NH,854974
RESIDENTIAL,Sales,2014,NJ,4567560
RESIDENTIAL,Sales,2014,NV,0
RESIDENTIAL,Sales,2014,NY,9983874
RESIDENTIAL,Sales,2014,OH,23521164
RESIDENTIAL,Sales,2014,OR,0
RESIDENTIAL,Sales,2014,PA,20750599
RESIDENTIAL,Sales,2014,RI,182578
RESIDENTIAL,Sales,2014,VA,0
RESIDENTIAL,Sales,2014,WA,0
RESIDENTIAL,Sales,2014,US,105749460
RESIDENTIAL,Sales,2013,CA,630764
RESIDENTIAL,Sales,2013,CT,5938595
RESIDENTIAL,Sales,2013,DC,340508
RESIDENTIAL,Sales,2013,DE,221063
RESIDENTIAL,Sales,2013,IL,24562181
RESIDENTIAL,Sales,2013,MA,3101847
RESIDENTIAL,Sales,2013,MD,6616361
RESIDENTIAL,Sales,2013,ME,4581264
